title,price,rating,reviews,availability
"Apple iPhone 12 Pro Max 5G, US Version, 128GB, Graphite - Unlocked (Renewed)",$594.99,4.3 out of 5 stars,"2,535 ratings",Not Available
"Apple iPhone 12, 64GB, Purple - Unlocked (Renewed)",$419.99,4.3 out of 5 stars,"6,514 ratings",Only 20 left in stock - order soon.
"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",$989.89,4.4 out of 5 stars,994 ratings,Only 2 left in stock - order soon.
"Apple iPhone 13 Mini, 128GB, Pink - Unlocked (Renewed)",$484.00,4.5 out of 5 stars,933 ratings,Not Available
"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",$620.00,4.4 out of 5 stars,"1,433 ratings",Only 2 left in stock - order soon.
"Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)",$406.75,4.3 out of 5 stars,"6,515 ratings",
"Apple iPhone 12, 128GB, Black - Fully Unlocked (Renewed)",$442.55,4.3 out of 5 stars,"6,515 ratings",Not Available
"Apple iPhone 12, 64GB, White - Fully Unlocked (Renewed)",$406.75,4.3 out of 5 stars,"6,514 ratings",Only 1 left in stock - order soon.
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",$639.99,4.4 out of 5 stars,"1,433 ratings",
"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$522.92,4.5 out of 5 stars,933 ratings,Only 1 left in stock - order soon.
"Apple iPhone 12 Pro Max, 256GB, Graphite - Fully Unlocked (Renewed)",$749.99,4.2 out of 5 stars,"2,535 ratings",
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Fully Unlocked (Renewed)",$605.50,4.2 out of 5 stars,"2,535 ratings",Not Available
"Apple iPhone 13 Pro Max, 512GB, Sierra Blue - Unlocked (Renewed)","$1,199.97",4.4 out of 5 stars,994 ratings,Only 10 left in stock - order soon.
"Apple iPhone 13 Pro, 256GB, Graphite - Unlocked (Renewed)",$770.25,4.3 out of 5 stars,675 ratings,
"Apple iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed)",$879.00,4.4 out of 5 stars,994 ratings,Not Available
"Apple iPhone 13 Pro, 256GB, Sierra Blue - Unlocked (Renewed)",$889.99,4.3 out of 5 stars,675 ratings,Only 3 left in stock - order soon.
"Apple iPhone 13 Mini, 128GB, Midnight - Unlocked (Renewed)",$470.00,4.5 out of 5 stars,933 ratings,Not Available
"Apple iPhone 13, 512GB, Midnight - Unlocked (Renewed)",$756.36,4.4 out of 5 stars,"1,433 ratings",
"Apple iPhone 13 Pro Max, 128GB, Gold - Unlocked (Renewed)",$917.43,4.4 out of 5 stars,994 ratings,Not Available
"Apple iPhone 13 Pro Max, 128GB, Alpine Green - Unlocked (Renewed)",$914.40,4.4 out of 5 stars,994 ratings,Not Available
"Apple iPhone 13, 128GB, Red - Unlocked (Renewed)",$589.95,4.4 out of 5 stars,"1,433 ratings",Not Available
"Apple iPhone 13 Mini, 256GB, Red - Unlocked (Renewed)",$528.75,4.5 out of 5 stars,933 ratings,Only 5 left in stock - order soon.
"Apple iPhone 13, 128GB, Starlight - Unlocked (Renewed)",$599.99,4.4 out of 5 stars,"1,433 ratings",Not Available
"Apple iPhone 13 Pro, 128GB, Sierra Blue - Unlocked (Renewed)",$784.99,4.3 out of 5 stars,675 ratings,Not Available
