"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"1","Tru",1990,"Play",134456,8
"2","Miss Saigon",1991,"Musical",30665673,300
"3","A Streetcar Named Desire 92",1992,"Play",5947347,137
"4","Miss Saigon",1992,"Musical",36315235,416
"5","Miss Saigon",1993,"Musical",32289717,416
"6","The Sisters Rosensweig",1993,"Play",13881777,324
"7","A Little More Magic",1994,"Special",160000,19
"8","Beauty And The Beast",1994,"Musical",28453519,288
"9","Broken Glass",1994,"Play",1393461,73
"10","Miss Saigon",1994,"Musical",29384903,416
"11","Show Boat",1994,"Musical",12149185,97
"12","Sunset Boulevard",1994,"Musical",6249677,45
"13","The Shadow Box",1994,"Play",523616,41
"14","The Sisters Rosensweig",1994,"Play",5204300,232
"15","A Month In The Country",1995,"Play",320994,15
"16","Arcadia",1995,"Play",2986504,104
"17","Beauty And The Beast",1995,"Musical",35934517,424
"18","Buttons On Broadway",1995,"Special",27020,3
"19","Cats",1995,"Musical",2684058,48
"20","Chronicle Of A Death Foretold",1995,"Musical",103769,0
"21","Company 95",1995,"Musical",173012,0
"22","Danny Gans On Broadway",1995,"Special",84362,6
"23","Defending The Caveman",1995,"Play",573296,32
"24","Garden District",1995,"Play",510674,31
"25","Grease",1995,"Musical",2198660,41
"26","Hamlet 95",1995,"Play",5094936,91
"27","Having Our Say",1995,"Play",4589010,277
"28","Hello, Dolly!",1995,"Musical",323839,0
"29","Holiday",1995,"Play",92284,0
"30","How To Succeed In Business Without Really Trying",1995,"Musical",426492,8
"31","Indiscretions",1995,"Play",280896,8
"32","Jackie Mason:  Politically Incorrect",1995,"Play",57491,7
"33","Kiss Of The Spider Woman",1995,"Musical",186660,8
"34","Les Miserables",1995,"Musical",436174,8
"35","Love! Valour! Compassion!",1995,"Play",120573,8
"36","Master Class",1995,"Play",931130,24
"37","Miss Saigon",1995,"Musical",26430928,385
"38","Moon Over Buffalo",1995,"Play",3858396,65
"39","Patti Lupone On Broadway",1995,"Special",83374,0
"40","Sacrilege",1995,"Play",357454,21
"41","School For Scandal",1995,"Play",27661,1
"42","Show Boat",1995,"Musical",40513292,384
"43","Smokey Joe'S Cafe",1995,"Musical",18061841,349
"44","Sunset Boulevard",1995,"Musical",37627231,382
"45","The Play'S The Thing",1995,"Play",32682,0
"46","The Rose Tattoo",1995,"Play",1039948,73
"47","The Shadow Box",1995,"Play",112982,8
"48","The Tempest",1995,"Play",4609277,70
"49","Tommy",1995,"Musical",229369,8
"50","Uncle Vanya",1995,"Play",421847,29
"51","Victor/Victoria",1995,"Musical",6313397,39
"52","A Delicate Balance",1996,"Play",5995428,185
"53","A Funny Thing Happened On The Way To The Forum",1996,"Musical",24143391,292
"54","A Midsummer Night'S Dream",1996,"Play",2731254,65
"55","A Thousand Clowns",1996,"Play",1019814,32
"56","An Ideal Husband",1996,"Play",7038697,275
"57","Beauty And The Beast",1996,"Musical",33473004,416
"58","Big",1996,"Musical",9736877,193
"59","Bring In Da Noise, Bring In Da Funk",1996,"Musical",15328756,288
"60","Buried Child",1996,"Play",1361820,72
"61","Bus Stop",1996,"Play",650106,29
"62","Cats",1996,"Musical",21653139,416
"63","Chicago",1996,"Musical",5233869,53
"64","Defending The Caveman",1996,"Play",5591107,301
"65","Dreams And Nightmares",1996,"Special",6033691,55
"66","God Said \"Ha\"",1996,"Play",286310,22
"67","Grease",1996,"Musical",17462951,416
"68","How To Succeed In Business Without Really Trying",1996,"Musical",3300134,56
"69","Hughie",1996,"Play",2673972,56
"70","It'S A Slippery Slope",1996,"Special",334458,14
"71","Juan Darien",1996,"Musical",979747,41
"72","Les Miserables",1996,"Musical",15146511,247
"73","Love Thy Neighbor",1996,"Play",3731603,228
"74","Master Class",1996,"Play",5651877,217
"75","Miss Saigon",1996,"Musical",15999414,248
"76","Moon Over Buffalo",1996,"Play",1045627,36
"77","Once Upon A Mattress",1996,"Musical",1833284,12
"78","Present Laughter",1996,"Play",1670479,47
"79","Rent",1996,"Musical",15666019,248
"80","Seven Guitars",1996,"Play",2428850,120
"81","Sex And Longing",1996,"Play",1474936,46
"82","Show Boat",1996,"Musical",17980094,249
"83","Skylight",1996,"Play",4514236,116
"84","Smokey Joe'S Cafe",1996,"Musical",19717687,415
"85","State Fair",1996,"Musical",790556,40
"86","Summer And Smoke",1996,"Play",1194418,53
"87","Sunset Boulevard",1996,"Musical",17613839,247
"88","Taking Sides",1996,"Play",1723675,85
"89","Tartuffe 96",1996,"Play",171763,29
"90","The King And I 96",1996,"Musical",17081449,248
"91","The Phantom Of The Opera",1996,"Musical",22130582,248
"92","The Rehearsal",1996,"Play",962190,42
"93","Victor/Victoria",1996,"Musical",18204993,247
"94","1776",1997,"Musical",4813802,141
"95","A Doll'S House",1997,"Play",6495976,150
"96","A Funny Thing Happened On The Way To The Forum",1997,"Musical",24284239,415
"97","A View From The Bridge",1997,"Play",649261,17
"98","An American Daughter",1997,"Play",2712516,89
"99","An Ideal Husband",1997,"Play",716644,32
"100","Annie",1997,"Musical",12836836,239
"101","Barrymore",1997,"Play",6566575,236
"102","Beauty And The Beast",1997,"Musical",30227497,416
"103","Bring In Da Noise, Bring In Da Funk",1997,"Musical",21343484,415
"104","Candide",1997,"Musical",5065916,104
"105","Cats",1997,"Musical",22010946,416
"106","Chicago",1997,"Musical",33327636,414
"107","Defending The Caveman",1997,"Play",2150025,134
"108","Dream: The Johnny Mercer Musical",1997,"Musical",3311853,109
"109","Eugene Onegin",1997,"Special",97542,7
"110","Forever Tango '97",1997,"Special",7463935,220
"111","Grease",1997,"Musical",15418117,368
