"ID","Sale_Amount"
2,"430000"
11,"352000"
13,"700000"
14,"650000"
15,"249900"
16,"155000"
25,"204000"
33,"25000"
43,"525000"
52,"35000"
61,"5000"
63,"300000"
66,"310000"
68,"425000"
71,"175000"
75,"1125000"
92,"149000"
95,"2000"
98,"130000"
113,"85000"
115,"95000"
116,"150000"
119,"90000"
123,"200000"
124,"160000"
128,"165155"
132,"82000"
135,"320000"
139,"100000"
141,"1200000"
147,"50000"
150,"22500"
160,"0"
168,"199900"
171,"460000"
173,"380000"
175,"850000"
185,"443165"
199,"352000"
201,"210000"
203,"550000"
204,"200000"
205,"331500"
208,"310000"
210,"89900"
222,"2100"
225,"575000"
226,"75000"
232,"525000"
239,"105000"
246,"2500"
253,"400000"
256,"300000"
258,"755000"
261,"20000"
269,"435000"
272,"650000"
273,"143000"
288,"400000"
292,"122500"
294,"451000"
297,"370000"
298,"365000"
301,"300000"
305,"630000"
313,"0"
319,"250000"
320,"223000"
324,"327900"
332,"2100000"
334,"115000"
337,"301000"
355,"672050"
356,"550000"
379,"2545000"
384,"149900"
391,"299900"
394,"375000"
397,"940000"
410,"200000"
411,"530000"
412,"280000"
414,"148700"
415,"255000"
418,"300000"
422,"400000"
431,"360000"
435,"75000"
442,"1490000"
453,"445000"
461,"259000"
462,"1364000"
469,"500000"
473,"155000"
475,"375000"
496,"1200000"
506,"3950000"
512,"170000"
515,"615000"
518,"330000"
524,"45000"
543,"215000"
544,"940000"
547,"508943"
551,"257000"
554,"399900"
556,"1575000"
564,"371000"
567,"375000"
579,"540000"
582,"330000"
583,"532500"
586,"100000"
587,"483104"
588,"338000"
589,"535000"
593,"288000"
597,"6725000"
599,"535000"
601,"276750"
602,"245000"
610,"759000"
618,"420000"
619,"400000"
631,"40000"
636,"244000"
637,"250000"
638,"236000"
640,"85000"
643,"2300000"
644,"200900"
650,"326000"
652,"2000000"
654,"29000"
673,"164500"
677,"162020"
682,"360000"
695,"160000"
697,"186000"
700,"170000"
706,"1810000"
707,"155000"
719,"275000"
721,"1050000"
725,"102000"
730,"1750000"
732,"158900"
738,"19000"
748,"345000"
750,"429900"
754,"262500"
762,"570000"
764,"370000"
773,"1050000"
774,"223000"
776,"225000"
780,"265000"
782,"245000"
786,"250000"
791,"24000"
799,"537000"
803,"300000"
804,"145000"
805,"520000"
809,"1655000"
810,"2200000"
811,"210000"
814,"2850000"
819,"343500"
820,"120000"
829,"1550000"
831,"189000"
832,"160000"
836,"250000"
844,"600000"
850,"247000"
854,"570000"
859,"130000"
862,"270000"
866,"560000"
876,"150000"
877,"180000"
881,"125000"
888,"273500"
899,"128000"
905,"345000"
909,"425000"
929,"681994"
931,"215210"
937,"350000"
938,"304695"
941,"185000"
955,"639000"
958,"249900"
959,"535000"
974,"200000"
981,"415000"
983,"375000"
988,"140000"
990,"785000"
994,"525000"
996,"322000"
997,"9000"
998,"67000"
1002,"2000"
1006,"235000"
1007,"125000"
1009,"537000"
1011,"320000"
1015,"565000"
1026,"13000"
1030,"210000"
1041,"305000"
1043,"1462500"
1045,"330000"
1046,"50000"
1055,"140000"
1072,"272000"
1073,"354073"
1076,"290000"
1079,"300000"
1082,"80100"
1087,"231000"
1091,"501000"
1098,"252000"
1104,"624382"
1107,"75000"
1108,"170000"
1116,"150000"
1121,"360000"
1123,"405000"
1129,"445000"
1142,"260000"
1152,"168000"
1154,"540000"
1160,"210000"
1165,"315000"
1169,"185000"
1171,"150000"
1174,"397000"
1178,"171000"
1180,"340000"
1191,"243000"
1195,"285000"
1201,"129900"
1208,"75000"
1209,"365000"
1221,"340000"
1240,"219000"
1242,"1225000"
1247,"65000"
1248,"1340000"
1250,"185000"
1265,"394900"
1271,"175000"
1273,"4200000"
1276,"277500"
1279,"140000"
1282,"255500"
1286,"132000"
1287,"265000"
1297,"222000"
1313,"184995"
1318,"225000"
1323,"340000"
1324,"249900"
1342,"83500"
1346,"249900"
1349,"505000"
1355,"300000"
1356,"80000"
1358,"154900"
1361,"1795000"
1362,"120000"
1374,"727000"
1375,"168500"
1379,"275000"
1384,"174900"
1392,"177000"
1394,"735000"
1397,"400000"
1399,"540000"
1400,"252000"
1412,"870000"
1414,"240000"
1427,"128000"
1430,"39000"
1457,"867500"
1460,"230000"
1464,"389900"
1467,"262500"
1474,"385000"
1479,"435000"
1480,"329000"
1486,"260000"
1487,"929357"
1489,"273000"
1491,"402500"
1497,"401000"
1505,"180000"
1507,"770000"
1509,"675000"
1525,"1690000"
1556,"200000"
1559,"109900"
1573,"256000"
1577,"155500"
1578,"145000"
1581,"177000"
1582,"470000"
1585,"165000"
1590,"163500"
1600,"1500000"
1602,"370000"
1613,"150000"
1617,"237500"
1628,"140000"
1630,"510000"
1631,"470000"
1638,"225000"
1639,"170500"
1641,"255000"
1647,"170000"
1650,"1330000"
1651,"250000"
1652,"383000"
1654,"439900"
1663,"460000"
1672,"289700"
1676,"154500"
1677,"117500"
1679,"190000"
1687,"560000"
1688,"535000"
1692,"229000"
1694,"2070000"
1698,"350000"
1701,"718000"
1703,"440000"
1704,"310000"
1709,"155000"
1711,"335000"
1712,"345050"
1724,"330750"
1730,"1500000"
1732,"135000"
1733,"770000"
1743,"165000"
1750,"179900"
1753,"6000000"
1755,"223000"
1760,"145000"
1763,"3595000"
1772,"120000"
1778,"170000"
1783,"1940000"
1787,"170000"
1791,"363000"
1797,"126888"
1799,"225000"
1800,"655000"
1802,"389900"
1818,"65000"
1819,"2500000"
1820,"200000"
1821,"265000"
1827,"265000"
1828,"161000"
1836,"919000"
1838,"1612500"
1841,"230000"
1846,"280000"
1864,"10000"
1872,"185000"
1878,"200000"
1880,"120000"
1881,"125000"
1884,"700000"
1886,"187500"
1903,"365000"
1913,"1950000"
1924,"1250000"
1926,"330000"
1928,"155000"
1930,"1765000"
1936,"913000"
1937,"448600"
1939,"1885000"
1940,"110000"
1946,"122550"
1948,"415000"
1950,"138750"
1951,"125000"
1958,"212000"
1959,"153000"
1962,"339000"
1965,"300000"
1966,"1800000"
1967,"159000"
1968,"201000"
1982,"317000"
1983,"99900"
1985,"4800000"
1991,"395000"
1993,"121500"
1998,"600000"
2008,"470000"
2014,"225000"
2016,"1700000"
2028,"696000"
2029,"155000"
2041,"405000"
