year,month,freq
2003,1,347
2003,2,282
2003,3,312
2003,4,242
2003,5,292
2003,6,312
2003,7,283
2003,8,299
2003,9,267
2003,10,315
2003,11,294
2003,12,287
2004,1,332
2004,2,281
2004,3,341
2004,4,312
2004,5,279
2004,6,307
2004,7,306
2004,8,368
2004,9,342
2004,10,301
2004,11,331
2004,12,308
2005,1,308
2005,2,272
2005,3,294
2005,4,283
2005,5,313
2005,6,292
2005,7,332
2005,8,363
2005,9,347
2005,10,320
2005,11,335
2005,12,334
2006,1,384
2006,2,334
2006,3,364
2006,4,349
2006,5,379
2006,6,351
2006,7,387
2006,8,424
2006,9,349
2006,10,361
2006,11,324
2006,12,344
2007,1,379
2007,2,294
2007,3,369
2007,4,363
2007,5,390
2007,6,351
2007,7,394
2007,8,428
2007,9,343
2007,10,399
2007,11,370
2007,12,333
2008,1,382
2008,2,336
2008,3,342
2008,4,305
2008,5,364
2008,6,329
2008,7,379
2008,8,398
2008,9,370
2008,10,369
2008,11,309
2008,12,334
2009,1,350
2009,2,296
2009,3,290
2009,4,340
2009,5,335
2009,6,306
2009,7,349
2009,8,367
2009,9,320
2009,10,334
2009,11,300
2009,12,303
2010,1,327
2010,2,324
2010,3,308
2010,4,277
2010,5,316
2010,6,335
2010,7,361
2010,8,315
2010,9,300
2010,10,324
2010,11,266
2010,12,308
2011,1,353
2011,2,266
2011,3,310
2011,4,295
2011,5,384
2011,6,321
2011,7,366
2011,8,325
2011,9,311
2011,10,340
2011,11,312
2011,12,313
2012,1,318
2012,2,290
2012,3,293
2012,4,303
2012,5,319
2012,6,351
2012,7,312
2012,8,378
2012,9,355
2012,10,306
2012,11,278
2012,12,296
2013,1,290
2013,2,245
2013,3,320
2013,4,282
2013,5,311
2013,6,291
2013,7,353
2013,8,358
2013,9,315
2013,10,333
2013,11,291
2013,12,284
2014,1,292
2014,2,233
2014,3,287
2014,4,257
2014,5,297
2014,6,301
2014,7,283
2014,8,257
2014,9,230
2014,10,249
2014,11,248
2014,12,237
2015,1,295
2015,2,211
2015,3,255
2015,4,224
2015,5,309
2015,6,294
2015,7,282
2015,8,265
2015,9,247
2015,10,277
2015,11,297
2015,12,281
2016,1,289
2016,2,241
2016,3,258
2016,4,247
2016,5,273
2016,6,246
2016,7,307
2016,8,318
2016,9,252
2016,10,297
2016,11,259
2016,12,221
2017,1,273
2017,2,236
2017,3,238
2017,4,266
2017,5,283
2017,6,249
2017,7,286
2017,8,277
2017,9,291
2017,10,251
2017,11,258
2017,12,275
2018,1,283
2018,2,224
2018,3,266
2018,4,242
2018,5,233
2018,6,263
2018,7,279
2018,8,280
2018,9,274
2018,10,232
2018,11,248
2018,12,265
2019,1,239
2019,2,233
2019,3,283
2019,4,264
2019,5,305
2019,6,311
2019,7,339
2019,8,394
2019,9,324
2019,10,281
2019,11,269
2019,12,268
2020,1,322
2020,2,264
2020,3,315
2020,4,289
2020,5,316
2020,6,323
2020,7,338
2020,8,351
2020,9,366
2020,10,298
2020,11,290
2020,12,300
2021,1,294
2021,2,260
2021,3,327
2021,4,309
2021,5,323
2021,6,286
2021,7,371
2021,8,348
2021,9,345
2021,10,329
2021,11,322
2021,12,278
2022,1,321
2022,2,273
2022,3,264
2022,4,285
2022,5,333
2022,6,345
2022,7,429
2022,8,350
2022,9,364
2022,10,309
2022,11,77
